"","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"26","03/29/2007","18:36:00","BRONX",41,0,"MULTI DWELL - APT BUILD","false","18-24","M","WHITE HISPANIC","65+","F","BLACK","1011307","235069",40.8118526970001,-73.902257649,"POINT (-73.90225764899996 40.81185269700006)"
"36","12/12/2016","22:18:00","BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK","999215","189479",40.686748418,-73.946041603,"POINT (-73.94604160299998 40.68674841800004)"
"41","02/24/2008","1:49:00","BRONX",52,0,"MULTI DWELL - APT BUILD","false","18-24","M","BLACK","25-44","M","WHITE HISPANIC","1017542","255919",40.869058532,-73.8796301479999,"POINT (-73.87963014799993 40.86905853200005)"
"45","01/31/2009","20:10:00","BRONX",42,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","18-24","M","BLACK","1010713","240858",40.827743663,-73.904380654,"POINT (-73.90438065399997 40.82774366300004)"
"57","04/24/2008","18:45:00","BROOKLYN",70,0,"GROCERY/BODEGA","false","18-24","M","BLACK","18-24","M","BLACK","991557","168868",40.630185381,-73.973676658,"POINT (-73.973676658 40.63018538100005)"
"58","11/22/2007","18:01:00","BROOKLYN",73,0,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK","1009968","182502",40.6675734240001,-73.9072957659999,"POINT (-73.90729576599993 40.667573424000075)"
"64","06/02/2013","15:23:00","BROOKLYN",70,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","25-44","M","WHITE HISPANIC","995957","177431",40.6536842580001,-73.9578100109999,"POINT (-73.95781001099994 40.653684258000055)"
"68","06/05/2013","14:30:00","BRONX",48,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","25-44","M","WHITE HISPANIC","1015269","247736",40.846606943,-73.8878863159999,"POINT (-73.88788631599994 40.84660694300004)"
"78","08/26/2007","13:44:00","BRONX",43,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","25-44","F","BLACK","1018434","238489",40.8212149290001,-73.8764938699999,"POINT (-73.87649386999993 40.821214929000064)"
"80","08/06/2013","0:53:00","MANHATTAN",26,2,"MULTI DWELL - PUBLIC HOUS","false","<18","M","BLACK","18-24","M","BLACK","996014","236126",40.814787465,-73.9575019649999,"POINT (-73.95750196499995 40.814787465000045)"
"85","11/21/2017","22:25:00","BROOKLYN",75,0,"MULTI DWELL - APT BUILD","false","18-24","M","BLACK","25-44","F","BLACK","1018109","174057",40.644366377,-73.877992336,"POINT (-73.87799233599996 40.64436637700004)"
"89","06/05/2012","3:30:00","BROOKLYN",75,0,"GROCERY/BODEGA","true","25-44","M","BLACK","18-24","M","BLACK HISPANIC","1015390","177544",40.653947407,-73.8877739979999,"POINT (-73.88777399799993 40.65394740700003)"
"90","11/15/2011","2:23:00","MANHATTAN",10,0,"BAR/NIGHT CLUB","false","45-64","M","BLACK","25-44","F","BLACK","982399","211453",40.7470742450001,-74.006681709,"POINT (-74.00668170899998 40.74707424500008)"
"94","12/13/2008","3:51:00","QUEENS",103,0,"BAR/NIGHT CLUB","false","18-24","M","BLACK","25-44","M","BLACK","1047620","198162",40.710366956,-73.7714247339999,"POINT (-73.77142473399994 40.71036695600003)"
"96","01/06/2008","3:22:00","BRONX",40,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK HISPANIC","<18","M","WHITE HISPANIC","1009821","236559",40.815946755,-73.907620165,"POINT (-73.90762016499998 40.81594675500003)"
"100","03/04/2008","13:22:00","BROOKLYN",73,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK","1009347","183819",40.6711900760001,-73.909529381,"POINT (-73.90952938099997 40.67119007600007)"
"103","10/06/2006","16:50:00","BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS","true","18-24","M","BLACK","18-24","M","BLACK","1016887","179406",40.659052795,-73.8823698589999,"POINT (-73.88236985899994 40.659052795000036)"
"105","05/03/2013","20:08:00","QUEENS",101,2,"MULTI DWELL - PUBLIC HOUS","true","18-24","M","BLACK","18-24","M","BLACK","1043920","156137",40.5950435610001,-73.785142445,"POINT (-73.78514244499998 40.59504356100007)"
"110","11/04/2007","21:02:00","BROOKLYN",83,0,"MULTI DWELL - APT BUILD","false","25-44","M","WHITE HISPANIC","18-24","M","BLACK HISPANIC","1008076","194325",40.7000301470001,-73.9140740509999,"POINT (-73.91407405099994 40.700030147000064)"
"112","09/30/2008","0:50:00","STATEN ISLAND",122,0,"PVT HOUSE","true","18-24","M","WHITE HISPANIC","18-24","M","BLACK","940718","153491",40.587874775,-74.156734023,"POINT (-74.15673402299996 40.587874775000046)"
"115","09/03/2009","20:23:00","BROOKLYN",70,0,"RESTAURANT/DINER","false","25-44","M","BLACK","25-44","M","BLACK","997240","171734",40.6380454330001,-73.953197115,"POINT (-73.95319711499997 40.63804543300005)"
"118","07/09/2006","4:30:00","QUEENS",105,0,"BAR/NIGHT CLUB","false","25-44","M","BLACK","18-24","M","BLACK","1056201","195663",40.703442201,-73.740499788,"POINT (-73.74049978799998 40.70344220100003)"
"121","03/19/2011","4:45:00","BROOKLYN",76,0,"SOCIAL CLUB/POLICY LOCATI","false","25-44","M","BLACK","25-44","M","BLACK","980350","185279",40.6752321600001,-74.014061387,"POINT (-74.01406138699997 40.675232160000064)"
"123","03/09/2015","17:30:00","STATEN ISLAND",121,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","18-24","F","WHITE","936722","172119",40.6389841760001,-74.171252305,"POINT (-74.17125230499995 40.63898417600007)"
"124","02/24/2015","10:00:00","BROOKLYN",60,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","18-24","F","BLACK","987641","148923",40.5754427690001,-73.987794763,"POINT (-73.98779476299995 40.57544276900006)"
"134","06/11/2008","23:50:00","BROOKLYN",63,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK","1000521","168264",40.6285156000001,-73.941383698,"POINT (-73.94138369799998 40.62851560000007)"
"137","11/20/2014","21:02:00","MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","18-24","M","WHITE HISPANIC","998165","226184",40.787496269,-73.9497517089999,"POINT (-73.94975170899994 40.78749626900003)"
"143","01/09/2018","21:08:00","QUEENS",101,0,"BEAUTY/NAIL SALON","false","25-44","M","BLACK","25-44","M","WHITE HISPANIC","1,053,133","159,320",40.60371341,-73.7519361,"POINT (-73.7519361 40.60371341)"
"148","05/01/2011","12:30:00","BROOKLYN",73,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK HISPANIC","18-24","M","BLACK","1010228","182554",40.667715394,-73.9063583449999,"POINT (-73.90635834499993 40.66771539400003)"
"154","06/26/2008","15:27:00","QUEENS",112,0,"PVT HOUSE","true","25-44","M","WHITE","45-64","M","WHITE","1026985","198753",40.712112835,-73.845851602,"POINT (-73.845851602 40.71211283500002)"
"155","04/14/2012","20:15:00","MANHATTAN",28,0,"GROCERY/BODEGA","false","<18","M","BLACK","18-24","M","BLACK","999669","233072",40.8063994610001,-73.944304663,"POINT (-73.94430466299998 40.80639946100007)"
"157","01/04/2010","19:10:00","BROOKLYN",60,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK","989043","154711",40.591329037,-73.9827438419999,"POINT (-73.98274384199993 40.591329037000044)"
"164","07/04/2009","5:08:00","BROOKLYN",75,0,"MULTI DWELL - PUBLIC HOUS","true","25-44","M","BLACK","18-24","M","BLACK HISPANIC","1021910","182503",40.6675334270001,-73.86424849,"POINT (-73.86424848999997 40.66753342700008)"
"169","03/18/2006","16:20:00","BROOKLYN",77,2,"MULTI DWELL - PUBLIC HOUS","true","<18","M","BLACK","18-24","M","BLACK","1005711","185258",40.6751493680001,-73.922632192,"POINT (-73.922632192 40.67514936800007)"
"171","04/11/2017","20:59:00","BROOKLYN",90,0,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK","999199","197682",40.7092637690001,-73.946081089,"POINT (-73.94608108899996 40.709263769000074)"
"174","05/11/2013","17:55:00","MANHATTAN",14,0,"COMMERCIAL BLDG","false","25-44","F","BLACK","45-64","M","BLACK","986589","213344",40.7522644480001,-73.9915593379999,"POINT (-73.99155933799993 40.75226444800006)"
"176","07/02/2012","14:50:00","BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","F","WHITE HISPANIC","1019639","184384",40.672705716,-73.872424874,"POINT (-73.87242487399999 40.672705716000046)"
"183","10/21/2007","2:25:00","BROOKLYN",77,2,"MULTI DWELL - PUBLIC HOUS","false","<18","M","BLACK","18-24","M","BLACK","1002408","185867",40.6768283270001,-73.934538222,"POINT (-73.93453822199997 40.67682832700007)"
"191","07/29/2007","14:50:00","BROOKLYN",79,0,"MULTI DWELL - APT BUILD","true","18-24","M","BLACK","25-44","M","BLACK","999880","190399",40.6892724580001,-73.943641654,"POINT (-73.94364165399996 40.68927245800006)"
"198","08/04/2016","19:50:00","BROOKLYN",63,0,"STORE UNCLASSIFIED","true","25-44","M","BLACK","25-44","M","BLACK","1001383","166605",40.623960368,-73.938282477,"POINT (-73.93828247699999 40.62396036800004)"
"200","08/15/2013","23:55:00","BROOKLYN",60,0,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","18-24","M","BLACK","988915","155582",40.5937198250001,-73.983204116,"POINT (-73.98320411599997 40.59371982500005)"
"202","08/24/2015","0:50:00","BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS","true","<18","M","BLACK","25-44","M","WHITE HISPANIC","999673","195713",40.703858516,-73.944375903,"POINT (-73.94437590299998 40.703858516000025)"
"212","05/22/2011","1:56:00","BRONX",47,0,"BAR/NIGHT CLUB","false","18-24","M","BLACK","18-24","M","BLACK","1025454","268214",40.9027710230001,-73.850947753,"POINT (-73.85094775299996 40.90277102300007)"
"215","08/07/2009","23:59:00","BRONX",43,0,"GROCERY/BODEGA","true","25-44","M","BLACK","18-24","M","WHITE HISPANIC","1026201","238332",40.820750538,-73.848432551,"POINT (-73.84843255099996 40.82075053800003)"
"218","12/26/2008","2:27:00","BROOKLYN",67,0,"BAR/NIGHT CLUB","false","25-44","M","BLACK","25-44","M","BLACK","1003561","178518",40.656654518,-73.930402478,"POINT (-73.93040247799998 40.65665451800004)"
"224","10/09/2006","14:15:00","BRONX",48,0,"SUPERMARKET","false","18-24","M","WHITE HISPANIC","25-44","F","BLACK HISPANIC","1011811","246833",40.844139945,-73.900388618,"POINT (-73.90038861799998 40.84413994500005)"
"229","05/15/2010","2:06:00","BROOKLYN",72,0,"RESTAURANT/DINER","false","25-44","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC","979202","172874",40.6411825750001,-74.0181907689999,"POINT (-74.01819076899994 40.64118257500007)"
"231","05/09/2010","1:58:00","BRONX",46,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","<18","F","BLACK","1009854","247503",40.8459847880001,-73.907459177,"POINT (-73.90745917699996 40.84598478800007)"
"234","08/30/2008","17:50:00","BRONX",44,0,"COMMERCIAL BLDG","false","18-24","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC","1010838","246697",40.843769648,-73.903905837,"POINT (-73.90390583699997 40.843769648000034)"
"237","04/21/2006","18:20:00","BROOKLYN",73,2,"MULTI DWELL - PUBLIC HOUS","true","25-44","M","BLACK","25-44","M","BLACK","1009167","184323",40.6725739510001,-73.910176398,"POINT (-73.91017639799998 40.67257395100007)"
"242","12/01/2012","3:18:00","BROOKLYN",77,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","25-44","M","BLACK","1002013","185753",40.6765162230001,-73.9359625769999,"POINT (-73.93596257699994 40.67651622300008)"
"245","09/22/2012","2:40:00","QUEENS",107,0,"BAR/NIGHT CLUB","false","18-24","M","BLACK","25-44","M","WHITE HISPANIC","1035677","201089",40.7184783320001,-73.814480843,"POINT (-73.81448084299996 40.71847833200008)"
"248","06/19/2006","9:18:00","BRONX",44,2,"MULTI DWELL - PUBLIC HOUS","true","18-24","M","BLACK","<18","M","BLACK","1003989","244111",40.8366897970001,-73.928667418,"POINT (-73.92866741799997 40.836689797000076)"
"256","08/14/2007","4:53:00","QUEENS",100,0,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","25-44","M","BLACK","1035139","152935",40.5863094960001,-73.816784975,"POINT (-73.81678497499998 40.58630949600007)"
"257","08/24/2007","21:50:00","BROOKLYN",73,0,"MULTI DWELL - APT BUILD","false","<18","M","BLACK","<18","F","BLACK","1008950","180855",40.6630556750001,-73.910971382,"POINT (-73.91097138199996 40.663055675000074)"
"263","10/01/2013","11:20:00","BROOKLYN",79,0,"MULTI DWELL - PUBLIC HOUS","true","18-24","M","BLACK","18-24","F","BLACK","995619","190846",40.690505869,-73.9590055209999,"POINT (-73.95900552099994 40.69050586900005)"
"265","12/01/2008","18:30:00","BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK HISPANIC","45-64","F","BLACK","1001060","196146",40.705044473,-73.939372383,"POINT (-73.93937238299998 40.705044473000044)"
"266","03/12/2012","21:11:00","BRONX",44,0,"FAST FOOD","false","18-24","M","BLACK","18-24","F","BLACK HISPANIC","1007715","241546",40.829640499,-73.9152111449999,"POINT (-73.91521114499993 40.82964049900005)"
"267","06/20/2016","16:52:00","BRONX",43,2,"MULTI DWELL - PUBLIC HOUS","true","18-24","M","BLACK","25-44","M","BLACK","1021623","240919",40.827871665,-73.864958422,"POINT (-73.86495842199997 40.82787166500003)"
"274","07/22/2006","4:30:00","BROOKLYN",70,0,"BAR/NIGHT CLUB","false","25-44","M","BLACK","18-24","M","BLACK","996108","176259",40.650467172,-73.957267875,"POINT (-73.95726787499996 40.65046717200005)"
"275","08/22/2014","1:24:00","BROOKLYN",84,0,"MULTI DWELL - PUBLIC HOUS","true","18-24","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC","989008","192550",40.695188978,-73.982843182,"POINT (-73.98284318199995 40.69518897800004)"
"278","08/24/2011","4:05:00","BRONX",41,0,"GROCERY/BODEGA","false","25-44","M","BLACK","18-24","M","BLACK","1014773","240158",40.8258092670001,-73.8897135409999,"POINT (-73.88971354099994 40.82580926700007)"
"281","07/20/2011","12:39:00","BROOKLYN",73,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","45-64","F","BLACK","1009167","184323",40.6725739510001,-73.910176398,"POINT (-73.91017639799998 40.67257395100007)"
"283","08/05/2018","9:33:00","QUEENS",114,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK","1,009,077","214,329",40.75493348,-73.91039019,"POINT (-73.91039019 40.75493348)"
"284","05/06/2006","0:44:00","BROOKLYN",79,0,"NONE","false","<18","M","BLACK","<18","M","BLACK","995737","187656",40.681749896,-73.958585458,"POINT (-73.95858545799997 40.681749896000035)"
"288","09/27/2007","23:14:00","BRONX",46,0,"GROCERY/BODEGA","false","18-24","M","BLACK","18-24","M","BLACK HISPANIC","1009339","248782",40.849496743,-73.9093157889999,"POINT (-73.90931578899993 40.84949674300003)"
"293","09/21/2018","6:52:00","QUEENS",114,0,"MULTI DWELL - APT BUILD","true","45-64","M","BLACK","25-44","M","BLACK","1,013,876","220,443",40.77170005,-73.89304162,"POINT (-73.89304162000002 40.77170005)"
"300","12/09/2012","2:27:00","BRONX",52,0,"PVT HOUSE","true","18-24","M","WHITE HISPANIC","45-64","M","BLACK HISPANIC","1017784","256685",40.8711600500001,-73.8787513359999,"POINT (-73.87875133599994 40.87116005000007)"
"304","03/27/2010","6:41:00","QUEENS",113,0,"PVT HOUSE","true","25-44","F","BLACK","18-24","M","BLACK","1043345","190599",40.689637931,-73.786911032,"POINT (-73.78691103199996 40.68963793100005)"
"305","07/24/2006","3:24:00","BRONX",41,0,"MULTI DWELL - APT BUILD","true","<18","M","BLACK HISPANIC","18-24","F","WHITE HISPANIC","1013526","236951",40.817011183,-73.894233277,"POINT (-73.89423327699996 40.817011183000034)"
"307","10/31/2008","23:23:00","MANHATTAN",32,0,"MULTI DWELL - APT BUILD","false","18-24","M","BLACK","25-44","M","BLACK","1000565","234704",40.8108772410001,-73.941064151,"POINT (-73.94106415099996 40.81087724100008)"
"312","10/10/2008","21:56:00","BROOKLYN",73,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK HISPANIC","<18","M","BLACK","1006140","183727",40.670946067,-73.921090573,"POINT (-73.92109057299997 40.670946067000045)"
"315","08/13/2007","2:10:00","BROOKLYN",88,0,"MULTI DWELL - APT BUILD","false","18-24","M","BLACK","18-24","M","BLACK","992376","188772",40.6848167850001,-73.9707020819999,"POINT (-73.97070208199995 40.68481678500007)"
"320","07/12/2009","19:47:00","QUEENS",113,0,"DRUG STORE","true","18-24","M","BLACK","18-24","M","BLACK","1038990","187022",40.6798479120001,-73.802643712,"POINT (-73.80264371199996 40.67984791200008)"
"321","12/09/2007","4:20:00","STATEN ISLAND",120,0,"BAR/NIGHT CLUB","false","25-44","M","WHITE","18-24","F","WHITE","946411","170162",40.633659326,-74.1363304019999,"POINT (-74.13633040199994 40.633659326000036)"
"323","08/07/2006","22:06:00","BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","<18","M","BLACK","999849","193276",40.6971692120001,-73.943746775,"POINT (-73.94374677499997 40.69716921200006)"
"325","07/20/2014","5:17:00","MANHATTAN",34,0,"RESTAURANT/DINER","false","18-24","M","BLACK","25-44","M","BLACK HISPANIC","1006605","254113",40.864136085,-73.91918021,"POINT (-73.91918020999998 40.86413608500004)"
"330","08/11/2007","0:09:00","BRONX",42,0,"MULTI DWELL - PUBLIC HOUS","false","<18","M","BLACK","25-44","M","BLACK","1012074","240410",40.8265098480001,-73.899464709,"POINT (-73.89946470899997 40.82650984800006)"
"337","10/31/2007","21:19:00","QUEENS",105,0,"MULTI DWELL - APT BUILD","true","18-24","M","BLACK","<18","M","BLACK","1057466","204039",40.726421843,-73.7358463149999,"POINT (-73.73584631499993 40.726421843000026)"
"338","06/17/2013","1:01:00","STATEN ISLAND",120,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","25-44","M","BLACK","960345","172218",40.639351172,-74.086135351,"POINT (-74.08613535099995 40.63935117200003)"
"340","06/18/2006","0:05:00","BROOKLYN",67,0,"NONE","false","18-24","M","BLACK","25-44","M","BLACK","997815","176684",40.651631255,-73.951115377,"POINT (-73.95111537699995 40.65163125500004)"
"341","07/11/2006","17:40:00","BROOKLYN",69,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK","1013828","175990",40.6496873730001,-73.8934101999999,"POINT (-73.89341019999993 40.64968737300006)"
"343","08/07/2006","8:50:00","STATEN ISLAND",122,0,"PVT HOUSE","false","25-44","M","WHITE","18-24","M","WHITE HISPANIC","950630","158148",40.6007004310001,-74.121070092,"POINT (-74.12107009199997 40.600700431000064)"
"346","12/15/2011","22:07:00","BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS","false","<18","M","WHITE HISPANIC","18-24","M","ASIAN / PACIFIC ISLANDER","1000852","194727",40.701150044,-73.940126081,"POINT (-73.94012608099996 40.70115004400004)"
"355","07/12/2017","21:30:00","BROOKLYN",81,2,"MULTI DWELL - PUBLIC HOUS","true","18-24","M","BLACK","25-44","F","BLACK","1002397","189963",40.688070936,-73.934566849,"POINT (-73.93456684899996 40.68807093600003)"
"361","06/25/2009","1:20:00","BROOKLYN",77,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK","1001278","185055",40.6746018150001,-73.938614149,"POINT (-73.938614149 40.674601815000074)"
"365","10/25/2007","23:50:00","BRONX",44,0,"MULTI DWELL - APT BUILD","true","18-24","M","BLACK","18-24","F","BLACK","1008274","245226",40.8397395310001,-73.913178032,"POINT (-73.91317803199998 40.83973953100008)"
"369","12/12/2017","18:25:00","BROOKLYN",75,0,"GROCERY/BODEGA","true","25-44","M","BLACK","65+","M","ASIAN / PACIFIC ISLANDER","1017749","180248",40.661360679,-73.879258826,"POINT (-73.87925882599995 40.66136067900004)"
"370","11/15/2015","22:43:00","BROOKLYN",75,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","25-44","M","WHITE HISPANIC","1020166","184728",40.6736477960001,-73.870523221,"POINT (-73.87052322099998 40.67364779600007)"
"372","02/20/2008","23:30:00","BROOKLYN",77,0,"MULTI DWELL - APT BUILD","false","<18","M","BLACK","18-24","M","BLACK","1003043","183948",40.6715597780001,-73.932254272,"POINT (-73.93225427199997 40.671559778000066)"
"373","12/01/2011","12:50:00","BROOKLYN",69,0,"COMMERCIAL BLDG","false","25-44","M","BLACK","45-64","M","BLACK","1008440","174569",40.6458033920001,-73.9128322,"POINT (-73.91283219999997 40.64580339200006)"
"376","04/01/2006","22:20:00","BRONX",49,0,"NONE","true","18-24","M","WHITE","25-44","M","WHITE","1020572","250574",40.854376184,-73.8687037939999,"POINT (-73.86870379399994 40.854376184000046)"
"377","08/21/2015","17:07:00","MANHATTAN",1,0,"COMMERCIAL BLDG","true","65+","M","WHITE","45-64","M","BLACK","982762","204595",40.728250797,-74.005370124,"POINT (-74.00537012399997 40.728250797000044)"
"378","02/13/2012","4:56:00","BROOKLYN",67,0,"BAR/NIGHT CLUB","false","25-44","M","BLACK","25-44","M","BLACK","1007805","175318",40.647860946,-73.91511782,"POINT (-73.91511781999998 40.64786094600004)"
"380","11/19/2014","23:50:00","MANHATTAN",32,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK","999428","236544",40.815929553,-73.9451673569999,"POINT (-73.94516735699995 40.815929553000046)"
"381","07/16/2016","16:49:00","MANHATTAN",7,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK","989021","200767",40.7177427010001,-73.9827904809999,"POINT (-73.98279048099994 40.71774270100008)"
"392","08/02/2012","18:15:00","MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK","999061","229912",40.7977271660001,-73.946507862,"POINT (-73.94650786199999 40.79772716600007)"
"394","07/09/2006","6:45:00","QUEENS",115,0,"BAR/NIGHT CLUB","false","25-44","M","BLACK","25-44","M","BLACK HISPANIC","1018546","219064",40.767898173,-73.876188408,"POINT (-73.87618840799998 40.76789817300004)"
"397","04/09/2011","23:48:00","BRONX",46,0,"MULTI DWELL - APT BUILD","false","<18","M","BLACK","18-24","M","BLACK","1009694","249366",40.851098634,-73.908030406,"POINT (-73.90803040599997 40.85109863400004)"
"402","03/26/2012","19:45:00","MANHATTAN",24,0,"MULTI DWELL - APT BUILD","false","18-24","M","BLACK","18-24","M","WHITE","991934","230082",40.798202841,-73.972248588,"POINT (-73.97224858799996 40.798202841000034)"
"410","04/19/2015","2:05:00","BRONX",47,2,"MULTI DWELL - PUBLIC HOUS","false","1020","M","BLACK","25-44","M","BLACK","1026323","261252",40.883658466,-73.847847932,"POINT (-73.847847932 40.883658466000036)"
"413","06/27/2008","15:07:00","BRONX",44,2,"MULTI DWELL - PUBLIC HOUS","true","<18","M","BLACK","18-24","M","BLACK","1008653","241755",40.8302116020001,-73.911820942,"POINT (-73.91182094199996 40.83021160200008)"
"424","04/14/2016","2:34:00","STATEN ISLAND",120,2,"MULTI DWELL - PUBLIC HOUS","true","25-44","M","BLACK","18-24","M","BLACK","951319","171306",40.6368189670001,-74.118653127,"POINT (-74.11865312699999 40.63681896700007)"
"427","08/03/2007","22:03:00","BRONX",47,2,"MULTI DWELL - PUBLIC HOUS","true","<18","M","BLACK","45-64","M","WHITE HISPANIC","1027103","261266",40.8836931390001,-73.845027043,"POINT (-73.84502704299997 40.88369313900005)"
"429","07/02/2013","1:13:00","MANHATTAN",32,0,"RESTAURANT/DINER","true","18-24","M","BLACK","25-44","M","BLACK","1001207","238736",40.82194274,-73.9387347649999,"POINT (-73.93873476499994 40.82194274000005)"
"430","08/21/2011","3:58:00","BRONX",42,0,"GROCERY/BODEGA","false","18-24","M","BLACK HISPANIC","18-24","F","WHITE HISPANIC","1015437","244318",40.8372249450001,-73.887294992,"POINT (-73.88729499199997 40.83722494500006)"
"461","12/13/2008","3:51:00","QUEENS",103,0,"BAR/NIGHT CLUB","false","18-24","M","BLACK","25-44","F","BLACK","1047620","198162",40.710366956,-73.7714247339999,"POINT (-73.77142473399994 40.71036695600003)"
"467","12/23/2008","21:10:00","BRONX",46,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK","1006361","248267",40.84809118,-73.920081637,"POINT (-73.92008163699995 40.84809118000004)"
"471","11/12/2006","1:32:00","QUEENS",102,0,"SOCIAL CLUB/POLICY LOCATI","false","18-24","M","BLACK","18-24","M","BLACK","1033909","194043",40.6991488680001,-73.8209107709999,"POINT (-73.82091077099993 40.699148868000066)"
"472","10/10/2017","17:32:00","BRONX",48,0,"MULTI DWELL - APT BUILD","false","18-24","F","WHITE HISPANIC","25-44","M","BLACK","1018095","246880",40.844247097,-73.877676349,"POINT (-73.87767634899996 40.84424709700004)"
"473","06/13/2009","19:40:00","MANHATTAN",34,0,"MULTI DWELL - APT BUILD","false","18-24","M","BLACK HISPANIC","18-24","M","BLACK HISPANIC","1003363","251411",40.8567275230001,-73.930908887,"POINT (-73.930908887 40.85672752300008)"
"475","08/22/2009","20:13:00","QUEENS",103,0,"PVT HOUSE","false","18-24","M","BLACK","18-24","M","BLACK","1043034","193153",40.696650122,-73.788010174,"POINT (-73.78801017399996 40.696650122000044)"
"481","06/25/2006","23:45:00","MANHATTAN",7,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","WHITE HISPANIC","<18","M","BLACK","989768","200626",40.7173552560001,-73.980095858,"POINT (-73.98009585799998 40.71735525600008)"
"491","09/01/2014","3:30:00","BROOKLYN",71,0,"PVT HOUSE","true","25-44","M","BLACK","18-24","F","BLACK","997453","181126",40.663824117,-73.952411269,"POINT (-73.95241126899998 40.66382411700005)"
"492","06/23/2016","3:20:00","QUEENS",113,0,"MULTI DWELL - APT BUILD","false","18-24","M","BLACK","18-24","M","BLACK","1046125","185873",40.676647179,-73.7769300799999,"POINT (-73.77693007999993 40.67664717900004)"
"494","11/17/2007","4:10:00","QUEENS",113,0,"MULTI DWELL - APT BUILD","true","18-24","M","BLACK","18-24","M","BLACK","1046405","187113",40.680048726,-73.775909194,"POINT (-73.77590919399995 40.680048726000045)"
"496","07/12/2008","4:08:00","BRONX",43,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","25-44","M","BLACK","1021189","239209",40.823180032,-73.8665360429999,"POINT (-73.86653604299994 40.82318003200004)"
"499","05/11/2006","8:08:00","BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK","1017482","180449",40.661913385,-73.880220199,"POINT (-73.88022019899995 40.66191338500005)"
"500","12/22/2009","11:37:00","BRONX",47,0,"PVT HOUSE","false","18-24","M","BLACK","25-44","M","BLACK","1026172","258110",40.87503538,-73.8484136719999,"POINT (-73.84841367199994 40.875035380000035)"
