"","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"4732","05/23/2015","16:00:00","BROOKLYN",75,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","18-24","M","BLACK","1016125","182265",40.666902888,-73.885102772,"POINT (-73.88510277199998 40.66690288800004)"
"4737","07/23/2016","21:06:00","BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS","false","<18","M","BLACK","<18","F","BLACK","1019193","183433",40.6700972080001,-73.8740376219999,"POINT (-73.87403762199995 40.670097208000065)"
"4738","07/19/2008","2:45:00","MANHATTAN",23,0,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","WHITE HISPANIC","<18","F","WHITE HISPANIC","998730","226827",40.789260224,-73.947710001,"POINT (-73.94771000099996 40.78926022400003)"
"4739","06/03/2016","1:52:00","MANHATTAN",9,2,"MULTI DWELL - PUBLIC HOUS","true","18-24","M","BLACK","18-24","M","BLACK HISPANIC","990808","202418",40.722273155,-73.976342426,"POINT (-73.97634242599996 40.72227315500004)"
"4743","02/17/2006","3:58:00","BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","WHITE HISPANIC","18-24","M","BLACK","1000919","195652",40.7036888260001,-73.939882154,"POINT (-73.93988215399997 40.70368882600008)"
"4749","03/21/2012","17:36:00","BROOKLYN",88,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","18-24","M","BLACK","990098","192781",40.6958223660001,-73.978912231,"POINT (-73.97891223099998 40.69582236600007)"
"4753","06/17/2008","19:10:00","BRONX",40,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","25-44","M","BLACK","1006288","232919",40.8059654890001,-73.920395906,"POINT (-73.92039590599995 40.80596548900007)"
"4756","01/02/2006","3:59:00","BROOKLYN",70,0,"BAR/NIGHT CLUB","false","18-24","M","BLACK","18-24","M","BLACK","996545","175090",40.647257924,-73.9556951559999,"POINT (-73.95569515599993 40.64725792400003)"
"4760","08/16/2007","23:30:00","BROOKLYN",73,0,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","25-44","M","BLACK","1007054","189167",40.685875326,-73.9177773059999,"POINT (-73.91777730599993 40.68587532600003)"
"4762","11/22/2006","20:30:00","BROOKLYN",61,0,"BAR/NIGHT CLUB","false","25-44","M","WHITE","25-44","M","WHITE","998695","154929",40.591916929,-73.947990547,"POINT (-73.94799054699997 40.59191692900004)"
